class,scale,level,n_group_majority_or_A,n_group_rest_or_B,acc_mean,acc_std,a_distance_mean,a_distance_std,mmd2,note
KIRC,cell,wsi,4,6,0.8389,0.076,1.3556,0.3042,0.179401,
KIRC,patch,wsi,4,6,0.5796,0.1487,0.3185,0.5947,0.057557,
KIRC,region,wsi,4,6,0.9944,0.0208,1.9778,0.0831,0.255757,
KIRC,wsi,wsi,4,6,0.9944,0.0208,1.9778,0.0831,0.255757,"wsi=mean(region),冗餘"
KIRP,cell,wsi,3,7,0.7639,0.1087,1.0556,0.4349,0.08145,
KIRP,patch,wsi,3,7,0.8259,0.1104,1.3037,0.4416,0.14741,
KIRP,region,wsi,3,7,0.888,0.0611,1.5519,0.2442,0.110103,
KIRP,wsi,wsi,3,7,0.888,0.0611,1.5519,0.2442,0.110103,"wsi=mean(region),冗餘"
IDC,cell,wsi,3,7,0.9,0.0451,1.6,0.1805,0.163832,
IDC,patch,wsi,3,7,0.7787,0.0761,1.1148,0.3043,0.089348,
IDC,region,wsi,3,7,0.6796,0.0734,0.7185,0.2936,0.093087,
IDC,wsi,wsi,3,7,0.6796,0.0734,0.7185,0.2936,0.093087,"wsi=mean(region),冗餘"
ILC,cell,wsi,5,5,0.5685,0.0923,0.2741,0.3693,0.102086,
ILC,patch,wsi,5,5,0.4843,0.1113,-0.063,0.4451,-0.002645,
ILC,region,wsi,5,5,0.6667,0.1348,0.6667,0.539,0.032727,
ILC,wsi,wsi,5,5,0.6667,0.1348,0.6667,0.539,0.032727,"wsi=mean(region),冗餘"
KIRC,cell,instance,1116,1034,0.837,0.0695,1.3481,0.278,0.208041,
KIRC,patch,instance,1116,1034,0.8066,0.0821,1.2263,0.3283,0.096243,
KIRC,region,instance,1116,1034,0.9448,0.0457,1.7791,0.1829,0.278004,
KIRP,cell,instance,677,2204,0.6382,0.0862,0.5528,0.3448,0.150361,
KIRP,patch,instance,677,2204,0.7098,0.0945,0.8393,0.3781,0.12662,
KIRP,region,instance,677,2204,0.7949,0.1327,1.1797,0.5307,0.161523,
IDC,cell,instance,885,873,0.6231,0.1584,0.4923,0.6338,0.146443,
IDC,patch,instance,885,873,0.5573,0.1329,0.2293,0.5316,0.158666,
IDC,region,instance,885,873,0.5118,0.1684,0.0472,0.6735,0.14496,
ILC,cell,instance,343,524,0.6659,0.1251,0.6637,0.5005,0.160717,
ILC,patch,instance,343,524,0.5655,0.1556,0.2621,0.6225,0.111317,
ILC,region,instance,343,524,0.7,0.1389,0.7998,0.5557,0.173023,
KIRP_balanced,cell,wsi,3,3,1.0,0.0,2.0,0.0,0.13989,KIRP平衡版(2Z vs BQ)
KIRP_balanced,patch,wsi,3,3,0.7889,0.0737,1.1556,0.2948,0.176689,KIRP平衡版(2Z vs BQ)
KIRP_balanced,region,wsi,3,3,1.0,0.0,2.0,0.0,0.182638,KIRP平衡版(2Z vs BQ)
KIRP_balanced,wsi,wsi,3,3,1.0,0.0,2.0,0.0,0.182638,"KIRP平衡版(2Z vs BQ),wsi=mean(region)冗餘"
KIRP_balanced,cell,instance,677,1105,0.6801,0.1923,0.7206,0.7693,0.203562,KIRP平衡版(2Z vs BQ)
KIRP_balanced,patch,instance,677,1105,0.6496,0.2933,0.5982,1.1733,0.149854,KIRP平衡版(2Z vs BQ)
KIRP_balanced,region,instance,677,1105,0.9888,0.0175,1.9552,0.07,0.254527,KIRP平衡版(2Z vs BQ)
