method,seed,K,AA,forgetting,BWT,jaccard,action_kl,sel_utility,tag
ours_uniform,0,1,0.8664000000000001,0.037400000000000024,-0.01360000000000002,0.25906666666666667,0.0572,0.14366666666666666,ablA1
ours_uniform,0,2,0.8947,0.04103333333333333,-0.030833333333333306,0.14553333333333332,0.026633333333333332,0.16,ablA1
ours_uniform,1,1,0.894625,0.010200000000000023,0.014499999999999994,0.28509999999999996,0.07286666666666666,0.2707,ablA1
ours_uniform,1,2,0.8893,0.053966666666666684,-0.053966666666666684,0.1732,0.03883333333333333,0.12033333333333333,ablA1
ours_uniform,2,1,0.88995,0.0,0.03510000000000002,0.23829999999999998,0.0778,0.5304333333333333,ablA1
ours_uniform,2,2,0.8774249999999999,0.03486666666666668,-0.03423333333333334,0.1575,0.0263,-0.00826666666666668,ablA1
ours_uniform,3,1,0.9275500000000001,0.012533333333333322,0.00830000000000001,0.21696666666666667,0.0759,0.45903333333333335,ablA1
ours_uniform,3,2,0.893,0.06483333333333337,-0.04400000000000004,0.13333333333333333,0.026966666666666667,0.08103333333333333,ablA1
ours_uniform,4,1,0.9408000000000001,0.0,0.023833333333333373,0.2654666666666667,0.056633333333333334,0.5297999999999999,ablA1
ours_uniform,4,2,0.882775,0.023599999999999993,-0.02316666666666667,0.11970000000000001,0.03186666666666666,0.10933333333333334,ablA1
ours,0,1,0.8703749999999999,0.012533333333333322,-0.012533333333333322,0.23216666666666666,0.09156666666666667,0.1002,ablA2a
ours,0,2,0.906525,0.0,0.0072666666666666435,0.11976666666666665,0.03893333333333333,0.08693333333333335,ablA2a
ours,1,1,0.8544499999999999,0.06210000000000001,-0.04083333333333335,0.15496666666666667,0.1042,0.1865,ablA2a
ours,1,2,0.9237500000000001,0.0306,-0.0306,0.1047,0.04926666666666666,0.17016666666666666,ablA2a
ours,2,1,0.8877999999999999,0.027433333333333348,0.01363333333333335,0.2047,0.09516666666666666,0.2954,ablA2a
ours,2,2,0.8682500000000001,0.06210000000000001,-0.055300000000000016,0.12736666666666666,0.04036666666666667,-0.022433333333333343,ablA2a
ours,3,1,0.879925,0.053766666666666664,-0.053766666666666664,0.19473333333333334,0.1079,0.055300000000000016,ablA2a
ours,3,2,0.8765000000000001,0.03486666666666668,-0.030133333333333307,0.12083333333333333,0.057966666666666666,0.09796666666666669,ablA2a
ours,4,1,0.931675,0.0035999999999999734,0.028100000000000052,0.17400000000000002,0.08686666666666666,0.5299666666666667,ablA2a
ours,4,2,0.87795,0.026966666666666656,-0.026966666666666656,0.13296666666666668,0.05016666666666667,0.0936,ablA2a
ours,0,1,0.8700249999999999,0.023666666666666687,-0.0198,0.2921,0.056499999999999995,0.4712,ablA2b
ours,0,2,0.897925,0.007266666666666681,0.0029333333333333065,0.20846666666666666,0.016700000000000003,0.15013333333333334,ablA2b
ours,1,1,0.8784,0.0,0.020833333333333332,0.29529999999999995,0.06713333333333334,0.28863333333333335,ablA2b
ours,1,2,0.90395,0.0342333333333333,-0.031266666666666665,0.18336666666666668,0.026766666666666664,0.17700000000000002,ablA2b
ours,2,1,0.8809,0.009566666666666687,0.018066666666666637,0.3128666666666667,0.062400000000000004,0.5106333333333334,ablA2b
ours,2,2,0.9158000000000001,0.004066666666666663,-0.0006666666666666673,0.20526666666666668,0.017233333333333333,0.20803333333333332,ablA2b
ours,3,1,0.927875,0.023633333333333357,0.0005999999999999709,0.25583333333333336,0.08703333333333334,0.4781333333333333,ablA2b
ours,3,2,0.9226000000000001,0.0,0.003866666666666685,0.19133333333333336,0.016133333333333333,0.17113333333333333,ablA2b
ours,4,1,0.933875,0.0036333333333333404,0.020833333333333332,0.2377,0.05603333333333333,0.48760000000000003,ablA2b
ours,4,2,0.8956,0.006166666666666691,0.008333333333333304,0.15713333333333335,0.024800000000000003,0.24473333333333333,ablA2b
ours,0,1,0.8669250000000001,0.010233333333333391,-0.00660000000000005,0.20613333333333336,0.07773333333333333,0.30396666666666666,ablA3a
ours,0,2,0.8969750000000001,0.04463333333333334,-0.00996666666666668,0.11823333333333334,0.04,0.07723333333333332,ablA3a
ours,1,1,0.8887,0.013400000000000004,0.01360000000000002,0.21053333333333335,0.09476666666666667,0.3105,ablA3a
ours,1,2,0.9048500000000002,0.03080000000000001,-0.02059999999999999,0.11493333333333333,0.05079999999999999,0.12786666666666666,ablA3a
ours,2,1,0.880275,0.019966666666666688,0.004899999999999978,0.14793333333333333,0.10483333333333333,0.44049999999999995,ablA3a
ours,2,2,0.9087000000000001,0.01746666666666667,-0.014066666666666635,0.144,0.036033333333333334,0.01686666666666666,ablA3a
ours,3,1,0.9115500000000001,0.027433333333333348,-0.006600000000000013,0.21696666666666667,0.09523333333333332,0.33226666666666665,ablA3a
ours,3,2,0.9251,0.010433333333333331,0.0006666666666666673,0.1235,0.034300000000000004,0.19453333333333334,ablA3a
ours,4,1,0.934375,0.0,0.03083333333333334,0.2275,0.07246666666666667,0.5605666666666668,ablA3a
ours,4,2,0.8884,0.0,0.013666666666666716,0.12163333333333333,0.039466666666666664,0.1595,ablA3a
ours,0,1,0.8869750000000001,0.013366666666666674,0.010433333333333331,0.39736666666666665,0.0385,0.15446666666666667,ablA3b
ours,0,2,0.90315,0.020833333333333332,0.020400000000000012,0.212,0.0129,0.14433333333333334,ablA3b
ours,1,1,0.885,0.01316666666666666,0.007666666666666673,0.3429666666666667,0.04776666666666666,0.5484,ablA3b
ours,1,2,0.9121000000000001,0.02743333333333331,-0.024033333333333278,0.20906666666666665,0.02466666666666667,0.1923,ablA3b
ours,2,1,0.894575,0.00996666666666668,0.011066666666666633,0.3468,0.06566666666666666,0.42346666666666666,ablA3b
ours,2,2,0.891975,0.03613333333333335,-0.03613333333333335,0.2293333333333333,0.012533333333333334,0.04899999999999999,ablA3b
ours,3,1,0.9191,0.024466666666666675,0.005933333333333346,0.33980000000000005,0.04803333333333334,0.4324333333333333,ablA3b
ours,3,2,0.9215250000000001,0.006566666666666683,-0.006566666666666683,0.1932,0.012066666666666668,0.1880666666666667,ablA3b
ours,4,1,0.930075,0.006799999999999991,0.020833333333333332,0.3055666666666667,0.0368,0.5081333333333333,ablA3b
ours,4,2,0.869025,0.04106666666666662,-0.037199999999999976,0.16123333333333334,0.01576666666666667,0.1322,ablA3b
distill,0,1,0.8674000000000001,0.029966666666666697,0.0008333333333332785,0.3140333333333334,0.04900000000000001,0.11773333333333334,distill_main
distill,0,2,0.91415,0.0,0.013833333333333364,0.17746666666666666,0.01713333333333333,0.18723333333333333,distill_main
distill,0,4,0.897975,0.01636666666666664,0.0114666666666667,0.12396666666666667,0.004166666666666667,0.07293333333333334,distill_main
distill,1,1,0.86985,0.027000000000000024,-0.002766666666666695,0.3549333333333333,0.07176666666666667,0.32939999999999997,distill_main
distill,1,2,0.9173250000000002,0.035099999999999985,-0.034466666666666645,0.16783333333333336,0.022766666666666668,0.23076666666666668,distill_main
distill,1,4,0.9168750000000001,0.0,0.010666666666666713,0.19340000000000002,0.003966666666666667,0.05006666666666667,distill_main
distill,2,1,0.8921,0.006799999999999991,0.024466666666666675,0.3067333333333333,0.0636,0.4887333333333333,distill_main
distill,2,2,0.912425,0.01363333333333335,0.0004333333333333596,0.21823333333333336,0.020166666666666666,0.07813333333333335,distill_main
distill,2,4,0.8723000000000001,0.06170000000000001,-0.05830000000000002,0.2094666666666667,0.006866666666666667,0.04583333333333334,distill_main
distill,3,1,0.9032250000000001,0.010899999999999984,-0.010899999999999984,0.28276666666666667,0.056799999999999996,0.4333333333333333,distill_main
distill,3,2,0.9080250000000001,0.002766666666666695,-0.0025333333333333505,0.1969,0.017233333333333333,0.2147666666666667,distill_main
distill,3,4,0.9089,0.0,0.03426666666666667,0.16916666666666666,0.0029666666666666665,0.07233333333333333,distill_main
distill,4,1,0.927325,0.0006333333333333006,0.03383333333333338,0.21930000000000002,0.051333333333333335,0.5077666666666666,distill_main
distill,4,2,0.858225,0.05103333333333334,-0.05103333333333334,0.1425,0.021566666666666665,0.19223333333333334,distill_main
distill,4,4,0.886175,0.04339999999999996,-0.016599999999999948,0.13486666666666666,0.004300000000000001,0.06566666666666666,distill_main
ours,0,1,0.855775,0.009766666666666665,-0.006799999999999991,0.2839,0.05726666666666667,0.3012333333333333,ours_main
ours,0,2,0.8973500000000001,0.006600000000000013,-0.006600000000000013,0.13573333333333334,0.022766666666666668,0.17626666666666668,ours_main
ours,0,4,0.89185,0.02103333333333335,-0.00020000000000001497,0.1328,0.008499999999999999,0.06893333333333333,ours_main
ours,1,1,0.873875,0.027000000000000024,-0.006166666666666691,0.2421333333333333,0.07406666666666667,0.4786333333333334,ours_main
ours,1,2,0.8866,0.054400000000000004,-0.05100000000000001,0.14416666666666667,0.03706666666666667,0.14873333333333336,ours_main
ours,1,4,0.8939,0.023800000000000005,-0.004833333333333356,0.13323333333333334,0.010566666666666667,0.0736,ours_main
ours,2,1,0.87215,0.0,0.031266666666666665,0.23716666666666666,0.07813333333333335,0.34190000000000004,ours_main
ours,2,2,0.9142250000000001,0.006366666666666632,-0.002766666666666658,0.16169999999999998,0.024633333333333337,0.0818,ours_main
ours,2,4,0.89465,0.01676666666666667,-0.01676666666666667,0.15803333333333333,0.011033333333333334,-0.030699999999999995,ours_main
ours,3,1,0.9064500000000001,0.019566666666666694,-0.019566666666666694,0.23303333333333331,0.082,0.4486666666666667,ours_main
ours,3,2,0.917925,0.009566666666666687,-0.008900000000000019,0.1424,0.023400000000000004,0.13393333333333332,ours_main
ours,3,4,0.9185750000000001,0.004066666666666663,0.023800000000000005,0.1553,0.011066666666666667,0.09643333333333333,ours_main
ours,4,1,0.931925,0.0,0.021300000000000024,0.29736666666666667,0.05553333333333333,0.48666666666666664,ours_main
ours,4,2,0.870525,0.027000000000000024,-0.01633333333333335,0.13493333333333332,0.030899999999999997,0.14026666666666668,ours_main
ours,4,4,0.8924000000000001,0.0,0.02983333333333334,0.1344,0.011233333333333333,0.037866666666666667,ours_main
