method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours_uniform,4,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0792,0.7982,15,8.2,can,main
ours_uniform,4,1,2,esca,1,0.875,0.8667,0.4,0.0312,0.1629,0.7982,15,70.5,can,main
ours_uniform,4,1,2,lung,2,0.8762,0.8737,1.0,-0.0,0.0218,0.7368,95,71.1,can,main
ours_uniform,4,1,3,esca,1,1.0,1.0,0.2,0.0605,0.6527,0.7982,15,117.8,can,main
ours_uniform,4,1,3,lung,2,0.8762,0.8737,0.4632,0.0366,0.0792,0.7368,95,118.4,can,main
ours_uniform,4,1,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.7551,0.8931,76,118.9,can,main
ours_uniform,4,1,4,esca,1,1.0,1.0,0.1333,0.0874,0.6603,0.7982,15,177.0,can,main
ours_uniform,4,1,4,lung,2,0.8769,0.8737,0.2947,0.0573,0.1171,0.7368,95,177.6,can,main
ours_uniform,4,1,4,rcc,3,0.9592,0.9474,0.3684,0.0252,0.812,0.8931,76,178.0,can,main
ours_uniform,4,1,4,brca,4,0.9271,0.9462,1.0,-0.0,0.3697,0.6746,93,178.6,can,main
ours_uniform,4,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1368,0.925,15,10.5,can,main
ours_uniform,4,2,2,esca,1,0.9375,0.9333,0.1556,0.0184,0.23,0.925,15,123.9,can,main
ours_uniform,4,2,2,lung,2,0.8538,0.8526,1.0,-0.0,-0.0274,0.8127,95,125.0,can,main
ours_uniform,4,2,3,esca,1,0.9375,0.9333,0.1111,0.0267,0.2537,0.925,15,215.0,can,main
ours_uniform,4,2,3,lung,2,0.8443,0.8421,0.3193,0.0246,-0.073,0.8127,95,216.2,can,main
ours_uniform,4,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.3786,0.9072,76,217.2,can,main
ours_uniform,4,2,4,esca,1,0.875,0.8667,0.0889,0.0324,-0.0027,0.925,15,330.6,can,main
ours_uniform,4,2,4,lung,2,0.8551,0.8526,0.1474,0.0416,-0.0595,0.8127,95,331.6,can,main
ours_uniform,4,2,4,rcc,3,0.9528,0.9605,0.1228,0.0216,0.3902,0.9072,76,332.5,can,main
ours_uniform,4,2,4,brca,4,0.8482,0.914,1.0,-0.0,0.14,0.6981,93,333.5,can,main
