method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,7.2,can,main
ours,1,1,2,esca,1,0.9375,0.9333,0.2667,0.0482,-0.18,0.8018,15,70.8,can,main
ours,1,1,2,lung,2,0.8756,0.8737,1.0,0.0,0.2057,0.771,95,71.4,can,main
ours,1,1,3,esca,1,0.8125,0.8,0.0667,0.066,-0.6472,0.8018,15,120.7,can,main
ours,1,1,3,lung,2,0.8769,0.8737,0.3053,0.1024,0.1907,0.771,95,121.3,can,main
ours,1,1,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.854,0.9035,76,121.8,can,main
ours,1,1,4,esca,1,0.7946,0.8,0.1333,0.1004,-0.4126,0.8018,15,184.0,can,main
ours,1,1,4,lung,2,0.8456,0.8421,0.2,0.1284,0.1192,0.771,95,184.7,can,main
ours,1,1,4,rcc,3,0.949,0.9342,0.1316,0.0838,0.8529,0.9035,76,185.2,can,main
ours,1,1,4,brca,4,0.8286,0.914,1.0,-0.0,0.2376,0.68,93,185.9,can,main
ours,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,12.0,can,main
ours,1,2,2,esca,1,1.0,1.0,0.1333,0.0207,0.3439,0.8464,15,137.2,can,main
ours,1,2,2,lung,2,0.8756,0.8737,1.0,-0.0,0.1063,0.7828,95,138.5,can,main
ours,1,2,3,esca,1,0.9375,0.9333,0.0667,0.0431,-0.0275,0.8464,15,235.2,can,main
ours,1,2,3,lung,2,0.8341,0.8316,0.2211,0.0338,0.0623,0.7828,95,236.4,can,main
ours,1,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4515,0.8859,76,237.4,can,main
ours,1,2,4,esca,1,0.9375,0.9333,0.0667,0.0662,0.0002,0.8464,15,356.8,can,main
ours,1,2,4,lung,2,0.8463,0.8421,0.1158,0.0577,0.0838,0.7828,95,358.2,can,main
ours,1,2,4,rcc,3,0.9713,0.9737,0.1316,0.0239,0.4265,0.8859,76,359.4,can,main
ours,1,2,4,brca,4,0.9399,0.9355,1.0,0.0,0.1752,0.7008,93,360.9,can,main
