method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,2,1,1,esca,1,0.875,0.8667,1.0,0.0,-0.2449,0.8679,15,7.4,can,main
ours,2,1,2,esca,1,0.9375,0.9333,0.5333,0.0254,0.5483,0.8679,15,77.4,can,main
ours,2,1,2,lung,2,0.8756,0.8737,1.0,-0.0,-0.0202,0.7639,95,78.1,can,main
ours,2,1,3,esca,1,0.9375,0.9333,0.4,0.0384,0.6124,0.8679,15,134.1,can,main
ours,2,1,3,lung,2,0.8762,0.8737,0.5158,0.0233,0.011,0.7639,95,134.8,can,main
ours,2,1,3,rcc,3,0.9592,0.9474,1.0,-0.0,0.7746,0.8511,76,135.5,can,main
ours,2,1,4,esca,1,0.9375,0.9333,0.2667,0.0895,0.6127,0.8679,15,203.9,can,main
ours,2,1,4,lung,2,0.8565,0.8526,0.3263,0.0882,-0.0841,0.7639,95,204.7,can,main
ours,2,1,4,rcc,3,0.949,0.9342,0.4474,0.0193,0.7418,0.8511,76,205.3,can,main
ours,2,1,4,brca,4,0.8353,0.9247,1.0,-0.0,0.3882,0.6575,93,206.0,can,main
ours,2,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0808,0.8393,15,11.8,can,main
ours,2,2,2,esca,1,0.9375,0.9333,0.2444,0.0052,-0.1404,0.8393,15,144.4,can,main
ours,2,2,2,lung,2,0.866,0.8632,1.0,0.0,-0.0574,0.7886,95,145.9,can,main
ours,2,2,3,esca,1,0.9375,0.9333,0.2667,0.0093,-0.1465,0.8393,15,253.1,can,main
ours,2,2,3,lung,2,0.866,0.8632,0.2211,0.006,-0.0171,0.7886,95,254.6,can,main
ours,2,2,3,rcc,3,0.9592,0.9474,1.0,-0.0,0.402,0.9083,76,255.6,can,main
ours,2,2,4,esca,1,0.8661,0.8667,0.2222,0.0145,-0.3624,0.8393,15,390.1,can,main
ours,2,2,4,lung,2,0.8354,0.8316,0.207,0.0142,0.0683,0.7886,95,391.6,can,main
ours,2,2,4,rcc,3,0.9528,0.9605,0.2588,0.0089,0.4411,0.9083,76,392.8,can,main
ours,2,2,4,brca,4,0.9136,0.9247,1.0,-0.0,0.2227,0.7351,93,394.4,can,main
