method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,13.4,can,main
seqft,1,1,2,esca,1,0.9375,0.9333,0.0667,0.4001,0.6155,0.8018,15,55.9,can,main
seqft,1,1,2,lung,2,0.8756,0.8737,1.0,0.0,0.1864,0.771,95,56.7,can,main
seqft,1,1,3,esca,1,0.7946,0.8,0.1333,0.2056,-0.5113,0.8018,15,90.1,can,main
seqft,1,1,3,lung,2,0.866,0.8632,0.1789,0.2699,0.2024,0.771,95,90.8,can,main
seqft,1,1,3,rcc,3,0.9611,0.9605,1.0,0.0,0.861,0.9035,76,91.3,can,main
seqft,1,1,4,esca,1,0.875,0.8667,0.0,0.2584,-0.1719,0.8018,15,131.6,can,main
seqft,1,1,4,lung,2,0.8232,0.8211,0.0632,0.3855,0.2108,0.771,95,132.2,can,main
seqft,1,1,4,rcc,3,0.924,0.9342,0.1184,0.4688,0.7682,0.9035,76,132.9,can,main
seqft,1,1,4,brca,4,0.809,0.914,1.0,-0.0,0.2666,0.68,93,133.5,can,main
seqft,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,13.2,can,main
seqft,1,2,2,esca,1,0.8661,0.8667,0.0444,0.1834,0.2722,0.8464,15,87.2,can,main
seqft,1,2,2,lung,2,0.8871,0.8842,1.0,-0.0,0.0505,0.7828,95,88.4,can,main
seqft,1,2,3,esca,1,0.8036,0.8,0.0667,0.0884,-0.0767,0.8464,15,144.9,can,main
seqft,1,2,3,lung,2,0.8443,0.8421,0.0982,0.165,0.1165,0.7828,95,146.1,can,main
seqft,1,2,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.4194,0.8859,76,147.1,can,main
seqft,1,2,4,esca,1,0.8036,0.8,0.1111,0.1032,0.0907,0.8464,15,217.8,can,main
seqft,1,2,4,lung,2,0.8239,0.8211,0.1018,0.1967,0.1456,0.7828,95,220.1,can,main
seqft,1,2,4,rcc,3,0.9611,0.9605,0.1316,0.0887,0.416,0.8859,76,221.6,can,main
seqft,1,2,4,brca,4,0.8677,0.914,1.0,-0.0,0.1335,0.7008,93,223.4,can,main
seqft,1,4,1,esca,1,0.9375,0.9333,1.0,-0.0,-0.0838,0.8857,15,21.6,can,main
seqft,1,4,2,esca,1,0.875,0.8667,0.0667,0.0161,-0.0159,0.8857,15,161.1,can,main
seqft,1,4,2,lung,2,0.8769,0.8737,1.0,-0.0,0.0413,0.8484,95,163.9,can,main
seqft,1,4,3,esca,1,0.9375,0.9333,0.1625,0.0204,0.1543,0.8857,15,279.8,can,main
seqft,1,4,3,lung,2,0.8334,0.8316,0.1204,0.0268,0.0092,0.8484,95,282.5,can,main
seqft,1,4,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.2035,0.9261,76,284.8,can,main
seqft,1,4,4,esca,1,0.875,0.8667,0.1321,0.019,0.096,0.8857,15,425.1,can,main
seqft,1,4,4,lung,2,0.7573,0.7579,0.0501,0.0328,0.019,0.8484,95,427.6,can,main
seqft,1,4,4,rcc,3,0.9157,0.9342,0.0564,0.0179,0.2018,0.9261,76,429.7,can,main
seqft,1,4,4,brca,4,0.9264,0.914,1.0,0.0,0.0701,0.7939,93,432.0,can,main
ewc,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,6.7,can,main
ewc,1,1,2,esca,1,0.9375,0.9333,0.2,0.3669,0.6275,0.8018,15,56.7,can,main
ewc,1,1,2,lung,2,0.8742,0.8737,1.0,-0.0,0.1683,0.771,95,57.3,can,main
ewc,1,1,3,esca,1,0.9375,0.9333,0.2,0.1632,0.0578,0.8018,15,101.6,can,main
ewc,1,1,3,lung,2,0.8851,0.8842,0.2947,0.1566,0.2099,0.771,95,102.3,can,main
ewc,1,1,3,rcc,3,0.9426,0.9474,1.0,-0.0,0.8975,0.9035,76,102.9,can,main
ewc,1,1,4,esca,1,0.875,0.8667,0.2,0.1661,0.2479,0.8018,15,166.7,can,main
ewc,1,1,4,lung,2,0.8545,0.8526,0.2316,0.2118,0.0865,0.771,95,167.3,can,main
ewc,1,1,4,rcc,3,0.9509,0.9474,0.2632,0.1533,0.8629,0.9035,76,167.8,can,main
ewc,1,1,4,brca,4,0.7233,0.871,1.0,-0.0,0.1373,0.68,93,168.5,can,main
ewc,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,12.4,can,main
ewc,1,2,2,esca,1,0.9375,0.9333,0.1111,0.1479,0.0352,0.8464,15,100.3,can,main
ewc,1,2,2,lung,2,0.8667,0.8632,1.0,0.0,0.1167,0.7828,95,101.5,can,main
ewc,1,2,3,esca,1,0.9375,0.9333,0.1333,0.0667,-0.0889,0.8464,15,181.7,can,main
ewc,1,2,3,lung,2,0.8551,0.8526,0.193,0.0905,0.0989,0.7828,95,183.0,can,main
ewc,1,2,3,rcc,3,0.9694,0.9605,1.0,-0.0,0.3944,0.8859,76,184.0,can,main
ewc,1,2,4,esca,1,0.9286,0.9333,0.0889,0.0648,0.2631,0.8464,15,304.1,can,main
ewc,1,2,4,lung,2,0.8449,0.8421,0.1263,0.1502,0.1523,0.7828,95,305.4,can,main
ewc,1,2,4,rcc,3,0.9611,0.9605,0.1886,0.0534,0.3516,0.8859,76,306.4,can,main
ewc,1,2,4,brca,4,0.8549,0.9247,1.0,0.0,0.1548,0.7008,93,307.6,can,main
ewc,1,4,1,esca,1,0.9375,0.9333,1.0,-0.0,-0.0838,0.8857,15,23.5,can,main
ewc,1,4,2,esca,1,0.8125,0.8,0.0762,0.0176,-0.076,0.8857,15,199.5,can,main
ewc,1,4,2,lung,2,0.8736,0.8737,1.0,-0.0,0.045,0.8484,95,202.2,can,main
ewc,1,4,3,esca,1,0.9375,0.9333,0.2019,0.0225,-0.0328,0.8857,15,362.3,can,main
ewc,1,4,3,lung,2,0.8205,0.8211,0.1825,0.0182,0.0599,0.8484,95,364.9,can,main
ewc,1,4,3,rcc,3,0.9074,0.9342,1.0,-0.0,0.1991,0.9261,76,366.9,can,main
ewc,1,4,4,esca,1,0.8036,0.8,0.0698,0.0214,-0.0785,0.8857,15,597.0,can,main
ewc,1,4,4,lung,2,0.8654,0.8632,0.1283,0.0264,0.0134,0.8484,95,599.5,can,main
ewc,1,4,4,rcc,3,0.9074,0.9342,0.1584,0.0222,0.2028,0.9261,76,601.6,can,main
ewc,1,4,4,brca,4,0.8346,0.8925,1.0,-0.0,0.0674,0.7939,93,604.1,can,main
lwf,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,6.5,can,main
lwf,1,1,2,esca,1,0.9375,0.9333,0.1333,0.0975,-0.2727,0.8018,15,51.7,can,main
lwf,1,1,2,lung,2,0.8756,0.8737,1.0,-0.0,0.1774,0.771,95,52.4,can,main
lwf,1,1,3,esca,1,0.9375,0.9333,0.1333,0.115,0.6273,0.8018,15,88.0,can,main
lwf,1,1,3,lung,2,0.8443,0.8421,0.2842,0.0452,0.1289,0.771,95,88.7,can,main
lwf,1,1,3,rcc,3,0.9509,0.9474,1.0,0.0,0.885,0.9035,76,89.2,can,main
lwf,1,1,4,esca,1,0.8661,0.8667,0.0667,0.1182,0.2603,0.8018,15,134.3,can,main
lwf,1,1,4,lung,2,0.8762,0.8737,0.1474,0.0704,0.2301,0.771,95,135.0,can,main
lwf,1,1,4,rcc,3,0.9611,0.9605,0.2368,0.0574,0.8355,0.9035,76,135.6,can,main
lwf,1,1,4,brca,4,0.8286,0.914,1.0,-0.0,0.2607,0.68,93,136.2,can,main
lwf,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,11.2,can,main
