method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,0,2,1,esca,1,1.0,1.0,1.0,-0.0,0.3199,0.85,12,0.9,can,main
seqft,0,2,2,esca,1,0.8333,0.8333,0.1389,0.0818,0.2366,0.85,12,1.0,can,main
seqft,0,2,2,lung,2,0.8333,0.8333,1.0,0.0,0.1413,0.6667,12,1.0,can,main
seqft,0,2,3,esca,1,0.8333,0.8333,0.0556,0.107,0.1714,0.85,12,1.2,can,main
seqft,0,2,3,lung,2,0.9167,0.9167,0.3611,0.0449,0.158,0.6667,12,1.2,can,main
seqft,0,2,3,rcc,3,0.9167,0.9167,1.0,0.0,0.4191,0.7667,12,1.2,can,main
seqft,0,2,4,esca,1,1.0,1.0,0.3333,0.0393,0.3182,0.85,12,1.3,can,main
seqft,0,2,4,lung,2,0.8333,0.8333,0.3056,0.0756,0.1414,0.6667,12,1.3,can,main
seqft,0,2,4,rcc,3,0.8333,0.8333,0.1389,0.0558,0.3199,0.7667,12,1.3,can,main
seqft,0,2,4,brca,4,0.75,0.75,1.0,0.0,0.1527,0.7,12,1.3,can,main
ours,0,2,1,esca,1,1.0,1.0,1.0,-0.0,0.3199,0.85,12,0.1,can,main
ours,0,2,2,esca,1,1.0,1.0,0.4167,0.0145,0.3335,0.85,12,0.3,can,main
ours,0,2,2,lung,2,0.75,0.75,1.0,0.0,0.1286,0.6667,12,0.3,can,main
ours,0,2,3,esca,1,1.0,1.0,0.4167,0.0295,0.3261,0.85,12,0.5,can,main
ours,0,2,3,lung,2,0.9167,0.9167,0.3889,0.0235,0.1866,0.6667,12,0.5,can,main
ours,0,2,3,rcc,3,0.9167,0.9167,1.0,0.0,0.3553,0.7667,12,0.5,can,main
ours,0,2,4,esca,1,1.0,1.0,0.2222,0.0314,0.317,0.85,12,0.6,can,main
ours,0,2,4,lung,2,0.8333,0.8333,0.3056,0.0245,0.1077,0.6667,12,0.7,can,main
ours,0,2,4,rcc,3,0.9167,0.9167,0.3333,0.0275,0.3843,0.7667,12,0.7,can,main
ours,0,2,4,brca,4,0.5833,0.5833,1.0,0.0,0.0189,0.7,12,0.7,can,main
