method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,0,2,1,esca,1,0.9375,0.9333,1.0,-0.0,0.0082,0.8982,15,4.2,can,main
seqft,0,2,2,esca,1,0.9375,0.9333,0.0444,0.1774,0.243,0.8982,15,28.8,can,main
seqft,0,2,2,lung,2,0.8443,0.8421,1.0,-0.0,-0.0907,0.8114,95,28.9,can,main
seqft,0,2,3,esca,1,0.9375,0.9333,0.0667,0.0785,0.0474,0.8982,15,48.6,can,main
seqft,0,2,3,lung,2,0.8429,0.8421,0.0632,0.1978,0.0749,0.8114,95,48.7,can,main
seqft,0,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.3923,0.9231,76,48.7,can,main
seqft,0,2,4,esca,1,0.875,0.8667,0.0667,0.0679,-0.0188,0.8982,15,72.4,can,main
seqft,0,2,4,lung,2,0.8001,0.8,0.0912,0.1913,0.0577,0.8114,95,72.5,can,main
seqft,0,2,4,rcc,3,0.9426,0.9474,0.0789,0.1086,0.4558,0.9231,76,72.6,can,main
seqft,0,2,4,brca,4,0.9136,0.9247,1.0,0.0,0.2229,0.7062,93,72.7,can,main
