method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,4,1,1,brca,1,0.8812,0.9355,1.0,-0.0,0.3174,0.6707,93,51.6,can,reverse
seqft,4,1,2,brca,1,0.7166,0.8602,0.1505,0.3143,0.2328,0.6707,93,88.8,can,reverse
seqft,4,1,2,rcc,2,0.9592,0.9474,1.0,-0.0,0.7847,0.8948,76,89.5,can,reverse
seqft,4,1,3,brca,1,0.7564,0.8925,0.1075,0.3671,0.3122,0.6707,93,139.0,can,reverse
seqft,4,1,3,rcc,2,0.9796,0.9737,0.1184,0.302,0.8138,0.8948,76,139.9,can,reverse
seqft,4,1,3,lung,3,0.8647,0.8632,1.0,-0.0,0.0138,0.7583,95,140.9,can,reverse
seqft,4,1,4,brca,1,0.7692,0.8817,0.129,0.3208,0.3139,0.6707,93,149.4,can,reverse
seqft,4,1,4,rcc,2,0.9157,0.9342,0.0263,0.1859,0.8816,0.8948,76,150.2,can,reverse
seqft,4,1,4,lung,3,0.8449,0.8421,0.1895,0.2611,0.2276,0.7583,95,151.3,can,reverse
seqft,4,1,4,esca,4,0.9375,0.9333,1.0,0.0,0.1922,0.7839,15,151.4,can,reverse
seqft,4,2,1,brca,1,0.7496,0.8817,1.0,0.0,0.0359,0.6993,93,84.9,can,reverse
seqft,4,2,2,brca,1,0.6579,0.8602,0.1254,0.1797,0.1086,0.6993,93,155.7,can,reverse
seqft,4,2,2,rcc,2,0.9898,0.9868,1.0,-0.0,0.4484,0.889,76,157.2,can,reverse
seqft,4,2,3,brca,1,0.8083,0.8817,0.0645,0.2165,0.1267,0.6993,93,232.6,can,reverse
seqft,4,2,3,rcc,2,0.9324,0.9342,0.0965,0.1287,0.3782,0.889,76,233.7,can,reverse
seqft,4,2,3,lung,3,0.8742,0.8737,1.0,-0.0,-0.0075,0.8283,95,235.1,can,reverse
seqft,4,2,4,brca,1,0.8738,0.8925,0.1219,0.1622,0.1407,0.6993,93,247.5,can,reverse
seqft,4,2,4,rcc,2,0.9221,0.9211,0.0702,0.0745,0.3769,0.889,76,248.6,can,reverse
seqft,4,2,4,lung,3,0.8361,0.8316,0.1333,0.1101,0.0061,0.8283,95,249.9,can,reverse
seqft,4,2,4,esca,4,0.9375,0.9333,1.0,0.0,-0.0575,0.9107,15,250.1,can,reverse
seqft,4,4,1,brca,1,0.9001,0.9032,1.0,-0.0,0.0586,0.7812,93,155.0,can,reverse
seqft,4,4,2,brca,1,0.7955,0.8925,0.0884,0.0254,0.0233,0.7812,93,269.4,can,reverse
seqft,4,4,2,rcc,2,0.9138,0.9211,1.0,-0.0,0.2017,0.9289,76,271.6,can,reverse
seqft,4,4,3,brca,1,0.7692,0.8817,0.0884,0.0311,0.0521,0.7812,93,421.2,can,reverse
seqft,4,4,3,rcc,2,0.9259,0.9474,0.1436,0.0134,0.1973,0.9289,76,423.6,can,reverse
seqft,4,4,3,lung,3,0.8762,0.8737,1.0,-0.0,-0.0632,0.8299,95,426.6,can,reverse
seqft,4,4,4,brca,1,0.6579,0.8602,0.0512,0.0251,-0.0004,0.7812,93,456.0,can,reverse
seqft,4,4,4,rcc,2,0.8398,0.8684,0.0752,0.032,0.1704,0.9289,76,458.8,can,reverse
seqft,4,4,4,lung,3,0.8436,0.8421,0.0782,0.0121,-0.0056,0.8299,95,462.3,can,reverse
seqft,4,4,4,esca,4,0.9375,0.9333,1.0,0.0,-0.0318,0.8589,15,462.8,can,reverse
ewc,4,1,1,brca,1,0.8812,0.9355,1.0,-0.0,0.3174,0.6707,93,45.9,can,reverse
ewc,4,1,2,brca,1,0.8414,0.9032,0.2043,0.232,0.2914,0.6707,93,91.9,can,reverse
ewc,4,1,2,rcc,2,0.9407,0.9342,1.0,-0.0,0.7261,0.8948,76,92.5,can,reverse
ewc,4,1,3,brca,1,0.8023,0.9032,0.2043,0.2398,0.312,0.6707,93,153.2,can,reverse
ewc,4,1,3,rcc,2,0.9592,0.9474,0.1842,0.2201,0.8021,0.8948,76,153.8,can,reverse
ewc,4,1,3,lung,3,0.8858,0.8842,1.0,-0.0,0.0554,0.7583,95,154.5,can,reverse
ewc,4,1,4,brca,1,0.8482,0.914,0.2688,0.1873,0.3114,0.6707,93,166.2,can,reverse
ewc,4,1,4,rcc,2,0.9036,0.9079,0.0526,0.1366,0.7272,0.8948,76,166.8,can,reverse
ewc,4,1,4,lung,3,0.8361,0.8316,0.2211,0.1616,-0.0409,0.7583,95,167.5,can,reverse
ewc,4,1,4,esca,4,0.9375,0.9333,1.0,0.0,0.0814,0.7839,15,167.6,can,reverse
ewc,4,2,1,brca,1,0.7496,0.8817,1.0,0.0,0.0359,0.6993,93,76.1,can,reverse
ewc,4,2,2,brca,1,0.7496,0.8817,0.1864,0.1711,0.1427,0.6993,93,151.0,can,reverse
ewc,4,2,2,rcc,2,0.9694,0.9605,1.0,-0.0,0.412,0.889,76,152.2,can,reverse
ewc,4,2,3,brca,1,0.8542,0.8925,0.0824,0.1467,0.1331,0.6993,93,276.7,can,reverse
ewc,4,2,3,rcc,2,0.9796,0.9737,0.1535,0.0783,0.4353,0.889,76,277.9,can,reverse
ewc,4,2,3,lung,3,0.8538,0.8526,1.0,-0.0,0.0491,0.8283,95,279.3,can,reverse
ewc,4,2,4,brca,1,0.7557,0.8602,0.1219,0.1618,0.1256,0.6993,93,302.6,can,reverse
ewc,4,2,4,rcc,2,0.9509,0.9474,0.0921,0.044,0.3565,0.889,76,303.7,can,reverse
ewc,4,2,4,lung,3,0.7844,0.7789,0.1368,0.1017,-0.0861,0.8283,95,305.0,can,reverse
ewc,4,2,4,esca,4,0.875,0.8667,1.0,-0.0,-0.2571,0.9107,15,305.2,can,reverse
ewc,4,4,1,brca,1,0.9001,0.9032,1.0,-0.0,0.0586,0.7812,93,153.4,can,reverse
ewc,4,4,2,brca,1,0.8677,0.914,0.1631,0.0237,0.0477,0.7812,93,295.7,can,reverse
ewc,4,4,2,rcc,2,0.9305,0.9211,1.0,-0.0,0.1838,0.9289,76,298.0,can,reverse
ewc,4,4,3,brca,1,0.894,0.9247,0.1598,0.0278,0.0758,0.7812,93,529.1,can,reverse
ewc,4,4,3,rcc,2,0.9407,0.9342,0.2357,0.0104,0.1521,0.9289,76,531.6,can,reverse
ewc,4,4,3,lung,3,0.8667,0.8632,1.0,-0.0,-0.0359,0.8299,95,534.5,can,reverse
ewc,4,4,4,brca,1,0.9271,0.9462,0.193,0.0163,0.0766,0.7812,93,577.7,can,reverse
ewc,4,4,4,rcc,2,0.9157,0.9342,0.0326,0.0191,0.2166,0.9289,76,580.2,can,reverse
ewc,4,4,4,lung,3,0.8647,0.8632,0.1226,0.0115,0.0487,0.8299,95,583.4,can,reverse
ewc,4,4,4,esca,4,1.0,1.0,1.0,0.0,0.1723,0.8589,15,584.0,can,reverse
lwf,4,1,1,brca,1,0.8812,0.9355,1.0,-0.0,0.3174,0.6707,93,57.5,can,reverse
lwf,4,1,2,brca,1,0.8482,0.914,0.3333,0.0964,0.2971,0.6707,93,104.5,can,reverse
lwf,4,1,2,rcc,2,0.9592,0.9474,1.0,0.0,0.797,0.8948,76,105.4,can,reverse
lwf,4,1,3,brca,1,0.8353,0.9247,0.2258,0.1791,0.3192,0.6707,93,163.7,can,reverse
lwf,4,1,3,rcc,2,0.9796,0.9737,0.2105,0.0647,0.827,0.8948,76,164.3,can,reverse
lwf,4,1,3,lung,3,0.8762,0.8737,1.0,0.0,0.0856,0.7583,95,165.1,can,reverse
lwf,4,1,4,brca,1,0.697,0.8602,0.1935,0.2263,0.175,0.6707,93,173.8,can,reverse
lwf,4,1,4,rcc,2,0.9611,0.9605,0.2105,0.0626,0.7979,0.8948,76,174.4,can,reverse
lwf,4,1,4,lung,3,0.8762,0.8737,0.4947,0.0325,0.114,0.7583,95,175.2,can,reverse
lwf,4,1,4,esca,4,1.0,1.0,1.0,0.0,0.6835,0.7839,15,175.3,can,reverse
lwf,4,2,1,brca,1,0.7496,0.8817,1.0,0.0,0.0359,0.6993,93,95.1,can,reverse
lwf,4,2,2,brca,1,0.8218,0.9032,0.2939,0.0782,0.0549,0.6993,93,178.5,can,reverse
lwf,4,2,2,rcc,2,0.9611,0.9605,1.0,-0.0,0.4454,0.889,76,179.7,can,reverse
lwf,4,2,3,brca,1,0.8286,0.914,0.1649,0.1405,0.1548,0.6993,93,276.8,can,reverse
lwf,4,2,3,rcc,2,0.9796,0.9737,0.2061,0.0227,0.4279,0.889,76,277.9,can,reverse
lwf,4,2,3,lung,3,0.8742,0.8737,1.0,-0.0,-0.0272,0.8283,95,279.2,can,reverse
lwf,4,2,4,brca,1,0.8482,0.914,0.1649,0.1377,0.2047,0.6993,93,294.8,can,reverse
lwf,4,2,4,rcc,2,0.9509,0.9474,0.1491,0.019,0.426,0.889,76,295.9,can,reverse
lwf,4,2,4,lung,3,0.8858,0.8842,0.3193,0.0102,0.0748,0.8283,95,297.3,can,reverse
lwf,4,2,4,esca,4,1.0,1.0,1.0,0.0,0.3416,0.9107,15,297.5,can,reverse
lwf,4,4,1,brca,1,0.9001,0.9032,1.0,-0.0,0.0586,0.7812,93,158.9,can,reverse
lwf,4,4,2,brca,1,0.9075,0.9462,0.1458,0.0162,0.0937,0.7812,93,300.6,can,reverse
lwf,4,4,2,rcc,2,0.924,0.9342,1.0,-0.0,0.1939,0.9289,76,302.6,can,reverse
lwf,4,4,3,brca,1,0.9075,0.9462,0.144,0.0167,0.0692,0.7812,93,470.4,can,reverse
lwf,4,4,3,rcc,2,0.9713,0.9737,0.1308,0.0034,0.1977,0.9289,76,473.2,can,reverse
lwf,4,4,3,lung,3,0.8565,0.8526,1.0,-0.0,-0.1102,0.8299,95,476.4,can,reverse
lwf,4,4,4,brca,1,0.9008,0.9355,0.1579,0.0158,0.0798,0.7812,93,506.4,can,reverse
lwf,4,4,4,rcc,2,0.9611,0.9605,0.1459,0.007,0.2197,0.9289,76,509.4,can,reverse
lwf,4,4,4,lung,3,0.8252,0.8211,0.4204,0.0017,-0.1295,0.8299,95,513.6,can,reverse
lwf,4,4,4,esca,4,0.9375,0.9333,1.0,-0.0,0.0642,0.8589,15,514.2,can,reverse
replay,4,1,1,brca,1,0.8812,0.9355,1.0,-0.0,0.3174,0.6707,93,45.8,can,reverse
replay,4,1,2,brca,1,0.9203,0.9355,0.3118,0.1048,0.3788,0.6707,93,97.9,can,reverse
replay,4,1,2,rcc,2,0.9694,0.9605,1.0,0.0,0.8094,0.8948,76,98.5,can,reverse
replay,4,1,3,brca,1,0.9001,0.9032,0.2473,0.1316,0.3601,0.6707,93,164.0,can,reverse
replay,4,1,3,rcc,2,0.9713,0.9737,0.1974,0.0615,0.8992,0.8948,76,164.7,can,reverse
replay,4,1,3,lung,3,0.8654,0.8632,1.0,-0.0,0.0318,0.7583,95,165.4,can,reverse
replay,4,1,4,brca,1,0.8738,0.8925,0.1935,0.1403,0.3931,0.6707,93,176.2,can,reverse
replay,4,1,4,rcc,2,0.9611,0.9605,0.25,0.0517,0.8137,0.8948,76,176.8,can,reverse
replay,4,1,4,lung,3,0.8558,0.8526,0.3263,0.0988,-0.0234,0.7583,95,177.6,can,reverse
replay,4,1,4,esca,4,1.0,1.0,1.0,0.0,0.6835,0.7839,15,177.7,can,reverse
replay,4,2,1,brca,1,0.7496,0.8817,1.0,0.0,0.0359,0.6993,93,72.9,can,reverse
replay,4,2,2,brca,1,0.9264,0.914,0.1685,0.12,0.1582,0.6993,93,163.3,can,reverse
replay,4,2,2,rcc,2,0.9611,0.9605,1.0,-0.0,0.4409,0.889,76,164.4,can,reverse
replay,4,2,3,brca,1,0.9068,0.914,0.1577,0.1179,0.1602,0.6993,93,286.7,can,reverse
replay,4,2,3,rcc,2,0.9713,0.9737,0.1491,0.0279,0.4173,0.889,76,287.8,can,reverse
replay,4,2,3,lung,3,0.8531,0.8526,1.0,-0.0,0.0607,0.8283,95,289.2,can,reverse
replay,4,2,4,brca,1,0.9264,0.914,0.1183,0.1408,0.147,0.6993,93,308.2,can,reverse
replay,4,2,4,rcc,2,0.9713,0.9737,0.1228,0.0285,0.4582,0.889,76,309.3,can,reverse
replay,4,2,4,lung,3,0.8252,0.8211,0.2035,0.0466,0.0022,0.8283,95,310.6,can,reverse
replay,4,2,4,esca,4,0.875,0.8667,1.0,0.0,-0.1335,0.9107,15,310.8,can,reverse
replay,4,4,1,brca,1,0.9001,0.9032,1.0,-0.0,0.0586,0.7812,93,147.4,can,reverse
replay,4,4,2,brca,1,0.8873,0.914,0.1218,0.0458,0.0744,0.7812,93,321.5,can,reverse
replay,4,4,2,rcc,2,0.9528,0.9605,1.0,0.0,0.1956,0.9289,76,323.6,can,reverse
replay,4,4,3,brca,1,0.8677,0.914,0.1454,0.0393,0.0747,0.7812,93,546.8,can,reverse
replay,4,4,3,rcc,2,0.924,0.9342,0.1915,0.0082,0.2074,0.9289,76,549.1,can,reverse
replay,4,4,3,lung,3,0.8538,0.8526,1.0,0.0,-0.0166,0.8299,95,552.0,can,reverse
replay,4,4,4,brca,1,0.8933,0.8925,0.1711,0.0994,0.0863,0.7812,93,591.1,can,reverse
replay,4,4,4,rcc,2,0.9611,0.9605,0.2297,0.0111,0.1983,0.9289,76,593.6,can,reverse
replay,4,4,4,lung,3,0.8252,0.8211,0.4755,0.0072,-0.0355,0.8299,95,596.7,can,reverse
replay,4,4,4,esca,4,0.9375,0.9333,1.0,-0.0,0.1553,0.8589,15,597.2,can,reverse
distill,4,1,1,brca,1,0.8812,0.9355,1.0,-0.0,0.3174,0.6707,93,45.8,can,reverse
