feature_level,task,classifier,cv_type,accuracy,balanced_accuracy,per_class_recall
wsi,2class,logreg,loo,0.975,0.975,Breast:0.95|Renal:1.00
wsi,2class,logreg,5fold_x3seed,0.975,0.975,acc_std:0.020|bacc_std:0.020
wsi,2class,knn3,loo,0.9,0.9,Breast:0.85|Renal:0.95
wsi,2class,knn3,5fold_x3seed,0.9,0.9,acc_std:0.000|bacc_std:0.000
wsi,2class,knn5,loo,0.925,0.925,Breast:0.90|Renal:0.95
wsi,2class,knn5,5fold_x3seed,0.9167,0.9167,acc_std:0.012|bacc_std:0.012
wsi,4class,logreg,loo,0.925,0.925,IDC:1.00|ILC:0.90|KIRC:0.80|KIRP:1.00
wsi,4class,logreg,5fold_x3seed,0.8,0.8,acc_std:0.054|bacc_std:0.054
wsi,4class,knn3,loo,0.575,0.575,IDC:0.50|ILC:0.50|KIRC:0.70|KIRP:0.60
wsi,4class,knn3,5fold_x3seed,0.6083,0.6083,acc_std:0.047|bacc_std:0.047
wsi,4class,knn5,loo,0.55,0.55,IDC:0.60|ILC:0.40|KIRC:0.80|KIRP:0.40
wsi,4class,knn5,5fold_x3seed,0.5583,0.5583,acc_std:0.047|bacc_std:0.047
region,2class,logreg,loo,0.975,0.975,Breast:0.95|Renal:1.00
region,2class,logreg,5fold_x3seed,0.975,0.975,acc_std:0.020|bacc_std:0.020
region,2class,knn3,loo,0.9,0.9,Breast:0.85|Renal:0.95
region,2class,knn3,5fold_x3seed,0.9,0.9,acc_std:0.000|bacc_std:0.000
region,2class,knn5,loo,0.925,0.925,Breast:0.90|Renal:0.95
region,2class,knn5,5fold_x3seed,0.9167,0.9167,acc_std:0.012|bacc_std:0.012
region,4class,logreg,loo,0.925,0.925,IDC:1.00|ILC:0.90|KIRC:0.80|KIRP:1.00
region,4class,logreg,5fold_x3seed,0.8,0.8,acc_std:0.054|bacc_std:0.054
region,4class,knn3,loo,0.575,0.575,IDC:0.50|ILC:0.50|KIRC:0.70|KIRP:0.60
region,4class,knn3,5fold_x3seed,0.6083,0.6083,acc_std:0.047|bacc_std:0.047
region,4class,knn5,loo,0.55,0.55,IDC:0.60|ILC:0.40|KIRC:0.80|KIRP:0.40
region,4class,knn5,5fold_x3seed,0.5583,0.5583,acc_std:0.047|bacc_std:0.047
patch,2class,logreg,loo,0.975,0.975,Breast:0.95|Renal:1.00
patch,2class,logreg,5fold_x3seed,0.975,0.975,acc_std:0.000|bacc_std:0.000
patch,2class,knn3,loo,0.975,0.975,Breast:0.95|Renal:1.00
patch,2class,knn3,5fold_x3seed,0.975,0.975,acc_std:0.000|bacc_std:0.000
patch,2class,knn5,loo,0.975,0.975,Breast:0.95|Renal:1.00
patch,2class,knn5,5fold_x3seed,0.9583,0.9583,acc_std:0.012|bacc_std:0.012
patch,4class,logreg,loo,0.775,0.775,IDC:0.70|ILC:0.80|KIRC:0.80|KIRP:0.80
patch,4class,logreg,5fold_x3seed,0.725,0.725,acc_std:0.035|bacc_std:0.035
patch,4class,knn3,loo,0.5,0.5,IDC:0.70|ILC:0.30|KIRC:0.60|KIRP:0.40
patch,4class,knn3,5fold_x3seed,0.5833,0.5833,acc_std:0.051|bacc_std:0.051
patch,4class,knn5,loo,0.575,0.575,IDC:0.50|ILC:0.60|KIRC:0.70|KIRP:0.50
patch,4class,knn5,5fold_x3seed,0.6583,0.6583,acc_std:0.024|bacc_std:0.024
cell,2class,logreg,loo,0.975,0.975,Breast:1.00|Renal:0.95
cell,2class,logreg,5fold_x3seed,0.95,0.95,acc_std:0.000|bacc_std:0.000
cell,2class,knn3,loo,0.75,0.75,Breast:0.90|Renal:0.60
cell,2class,knn3,5fold_x3seed,0.7333,0.7333,acc_std:0.012|bacc_std:0.012
cell,2class,knn5,loo,0.8,0.8,Breast:0.90|Renal:0.70
cell,2class,knn5,5fold_x3seed,0.8083,0.8083,acc_std:0.024|bacc_std:0.024
cell,4class,logreg,loo,0.625,0.625,IDC:0.80|ILC:0.80|KIRC:0.60|KIRP:0.30
cell,4class,logreg,5fold_x3seed,0.5917,0.5917,acc_std:0.024|bacc_std:0.024
cell,4class,knn3,loo,0.375,0.375,IDC:0.40|ILC:0.60|KIRC:0.30|KIRP:0.20
cell,4class,knn3,5fold_x3seed,0.4083,0.4083,acc_std:0.051|bacc_std:0.051
cell,4class,knn5,loo,0.35,0.35,IDC:0.50|ILC:0.40|KIRC:0.30|KIRP:0.20
cell,4class,knn5,5fold_x3seed,0.3917,0.3917,acc_std:0.066|bacc_std:0.066
