task,policy,K,seed,loo_accuracy,balanced_accuracy
2class,full_info,all,0,1.0,1.0
2class,random,1,0,0.9,0.9
2class,random,1,1,0.95,0.95
2class,random,1,2,0.975,0.975
2class,random,1,3,0.975,0.975
2class,random,1,4,0.875,0.875
2class,spatial_uniform,1,0,0.925,0.925
2class,diversity_fps,1,0,0.9,0.9
2class,diversity_fps,1,1,0.95,0.95
2class,diversity_fps,1,2,0.975,0.975
2class,atypicality,1,0,0.725,0.725
2class,random,2,0,0.9,0.9
2class,random,2,1,0.925,0.925
2class,random,2,2,0.95,0.95
2class,random,2,3,0.85,0.85
2class,random,2,4,0.925,0.925
2class,spatial_uniform,2,0,0.825,0.825
2class,diversity_fps,2,0,0.825,0.825
2class,diversity_fps,2,1,0.9,0.9
2class,diversity_fps,2,2,0.9,0.9
2class,atypicality,2,0,0.75,0.75
2class,random,4,0,0.9,0.9
2class,random,4,1,1.0,1.0
2class,random,4,2,0.975,0.975
2class,random,4,3,0.925,0.925
2class,random,4,4,0.975,0.975
2class,spatial_uniform,4,0,0.95,0.95
2class,diversity_fps,4,0,0.9,0.9
2class,diversity_fps,4,1,0.875,0.875
2class,diversity_fps,4,2,0.875,0.875
2class,atypicality,4,0,0.825,0.825
2class,random,8,0,0.975,0.975
2class,random,8,1,1.0,1.0
2class,random,8,2,0.95,0.95
2class,random,8,3,0.975,0.975
2class,random,8,4,1.0,1.0
2class,spatial_uniform,8,0,1.0,1.0
2class,diversity_fps,8,0,0.925,0.925
2class,diversity_fps,8,1,0.95,0.95
2class,diversity_fps,8,2,0.925,0.925
2class,atypicality,8,0,0.775,0.775
2class,random,16,0,1.0,1.0
2class,random,16,1,0.925,0.925
2class,random,16,2,0.975,0.975
2class,random,16,3,1.0,1.0
2class,random,16,4,0.975,0.975
2class,spatial_uniform,16,0,1.0,1.0
2class,diversity_fps,16,0,0.925,0.925
2class,diversity_fps,16,1,0.925,0.925
2class,diversity_fps,16,2,0.9,0.9
2class,atypicality,16,0,0.8,0.8
2class,random,32,0,0.975,0.975
2class,random,32,1,1.0,1.0
2class,random,32,2,1.0,1.0
2class,random,32,3,0.975,0.975
2class,random,32,4,1.0,1.0
2class,spatial_uniform,32,0,1.0,1.0
2class,diversity_fps,32,0,0.95,0.95
2class,diversity_fps,32,1,0.95,0.95
2class,diversity_fps,32,2,0.95,0.95
2class,atypicality,32,0,0.875,0.875
4class,full_info,all,0,0.95,0.95
4class,random,1,0,0.475,0.475
4class,random,1,1,0.575,0.575
4class,random,1,2,0.65,0.65
4class,random,1,3,0.55,0.55
4class,random,1,4,0.6,0.6
4class,spatial_uniform,1,0,0.6,0.6
4class,diversity_fps,1,0,0.475,0.475
4class,diversity_fps,1,1,0.575,0.575
4class,diversity_fps,1,2,0.65,0.65
4class,atypicality,1,0,0.5,0.5
4class,random,2,0,0.625,0.625
4class,random,2,1,0.75,0.75
4class,random,2,2,0.7,0.7
4class,random,2,3,0.7,0.7
4class,random,2,4,0.575,0.575
4class,spatial_uniform,2,0,0.625,0.625
4class,diversity_fps,2,0,0.425,0.425
4class,diversity_fps,2,1,0.525,0.525
4class,diversity_fps,2,2,0.5,0.5
4class,atypicality,2,0,0.5,0.5
4class,random,4,0,0.7,0.7
4class,random,4,1,0.75,0.75
4class,random,4,2,0.9,0.9
4class,random,4,3,0.725,0.725
4class,random,4,4,0.825,0.825
4class,spatial_uniform,4,0,0.775,0.775
4class,diversity_fps,4,0,0.525,0.525
4class,diversity_fps,4,1,0.525,0.525
4class,diversity_fps,4,2,0.575,0.575
4class,atypicality,4,0,0.425,0.425
4class,random,8,0,0.75,0.75
4class,random,8,1,0.775,0.775
4class,random,8,2,0.8,0.8
4class,random,8,3,0.825,0.825
4class,random,8,4,0.65,0.65
4class,spatial_uniform,8,0,0.65,0.65
4class,diversity_fps,8,0,0.6,0.6
4class,diversity_fps,8,1,0.625,0.625
4class,diversity_fps,8,2,0.625,0.625
4class,atypicality,8,0,0.475,0.475
4class,random,16,0,0.825,0.825
4class,random,16,1,0.875,0.875
4class,random,16,2,0.875,0.875
4class,random,16,3,0.875,0.875
4class,random,16,4,0.825,0.825
4class,spatial_uniform,16,0,0.825,0.825
4class,diversity_fps,16,0,0.75,0.75
4class,diversity_fps,16,1,0.7,0.7
4class,diversity_fps,16,2,0.675,0.675
4class,atypicality,16,0,0.5,0.5
4class,random,32,0,0.875,0.875
4class,random,32,1,0.95,0.95
4class,random,32,2,0.9,0.9
4class,random,32,3,0.85,0.85
4class,random,32,4,0.925,0.925
4class,spatial_uniform,32,0,0.9,0.9
4class,diversity_fps,32,0,0.775,0.775
4class,diversity_fps,32,1,0.775,0.775
4class,diversity_fps,32,2,0.775,0.775
4class,atypicality,32,0,0.55,0.55
