task,seed,fold,K,learned,uniform,random_mean,random_std,teacher_oracle
4class,0,0,1,0.75,0.875,0.5,0.07905694150420949,1.0
4class,0,0,2,0.625,0.5,0.6,0.1457737973711325,1.0
4class,0,0,4,0.625,0.75,0.75,0.11180339887498948,1.0
4class,0,0,8,0.5,0.625,0.775,0.09354143466934853,1.0
4class,0,1,1,0.875,0.625,0.55,0.06123724356957946,1.0
4class,0,1,2,0.875,0.625,0.55,0.09999999999999999,1.0
4class,0,1,4,0.875,0.625,0.625,0.0,1.0
4class,0,1,8,0.875,0.625,0.625,0.07905694150420949,1.0
4class,0,2,1,0.875,0.75,0.675,0.1274754878398196,1.0
4class,0,2,2,0.875,0.875,0.725,0.09354143466934853,1.0
4class,0,2,4,0.75,0.75,0.775,0.09354143466934853,1.0
4class,0,2,8,1.0,1.0,0.875,0.07905694150420949,1.0
4class,0,3,1,0.625,0.625,0.525,0.1224744871391589,0.875
4class,0,3,2,0.75,0.5,0.675,0.09999999999999999,0.875
4class,0,3,4,0.75,0.625,0.75,0.07905694150420949,0.875
4class,0,3,8,0.75,0.625,0.675,0.06123724356957945,0.875
4class,0,4,1,1.0,0.75,0.675,0.1,1.0
4class,0,4,2,0.75,0.75,0.8,0.06123724356957946,1.0
4class,0,4,4,0.875,0.875,0.775,0.1224744871391589,1.0
4class,0,4,8,0.875,0.75,0.75,0.13693063937629152,1.0
4class,1,0,1,0.625,0.875,0.725,0.1224744871391589,1.0
4class,1,0,2,0.875,0.875,0.75,0.11180339887498948,1.0
4class,1,0,4,0.875,1.0,0.825,0.1274754878398196,1.0
4class,1,0,8,0.875,1.0,0.925,0.06123724356957946,1.0
4class,1,1,1,0.75,0.75,0.625,0.07905694150420949,0.875
4class,1,1,2,0.625,0.625,0.6,0.049999999999999996,0.875
4class,1,1,4,0.625,0.875,0.65,0.09354143466934853,0.875
4class,1,1,8,0.625,0.625,0.675,0.06123724356957946,0.875
4class,1,2,1,1.0,0.875,0.675,0.1274754878398196,1.0
4class,1,2,2,0.75,0.875,0.7,0.09999999999999999,1.0
4class,1,2,4,1.0,1.0,0.85,0.09354143466934853,1.0
4class,1,2,8,1.0,0.75,0.825,0.09999999999999999,1.0
4class,1,3,1,0.625,1.0,0.625,0.15811388300841897,1.0
4class,1,3,2,0.625,0.5,0.75,0.0,1.0
4class,1,3,4,1.0,0.625,0.75,0.0,1.0
4class,1,3,8,0.875,0.75,0.775,0.049999999999999996,1.0
4class,1,4,1,0.875,0.75,0.625,0.07905694150420949,1.0
4class,1,4,2,0.75,0.875,0.7,0.1,1.0
4class,1,4,4,0.75,0.75,0.65,0.09354143466934853,1.0
4class,1,4,8,0.75,0.625,0.675,0.06123724356957946,1.0
4class,2,0,1,0.875,0.75,0.625,0.2091650066335189,1.0
4class,2,0,2,0.875,0.75,0.675,0.09999999999999999,1.0
4class,2,0,4,0.875,0.625,0.7,0.12747548783981963,1.0
4class,2,0,8,0.75,0.625,0.775,0.09354143466934853,1.0
4class,2,1,1,0.75,0.875,0.75,0.15811388300841897,1.0
4class,2,1,2,0.75,0.75,0.85,0.09354143466934853,1.0
4class,2,1,4,1.0,0.875,0.95,0.06123724356957945,1.0
4class,2,1,8,1.0,1.0,0.975,0.049999999999999996,1.0
4class,2,2,1,0.75,0.5,0.525,0.2,0.875
4class,2,2,2,0.875,0.75,0.725,0.09354143466934853,0.875
4class,2,2,4,0.875,0.625,0.75,0.07905694150420949,0.875
4class,2,2,8,0.875,0.75,0.725,0.049999999999999996,0.875
4class,2,3,1,1.0,0.875,0.625,0.1767766952966369,1.0
4class,2,3,2,1.0,0.75,0.675,0.09999999999999999,1.0
4class,2,3,4,0.875,0.875,0.825,0.06123724356957945,1.0
4class,2,3,8,0.875,0.625,0.725,0.09354143466934853,1.0
4class,2,4,1,0.625,0.75,0.575,0.15,1.0
4class,2,4,2,0.875,0.75,0.575,0.1,1.0
4class,2,4,4,1.0,0.625,0.6,0.1224744871391589,1.0
4class,2,4,8,0.875,0.625,0.55,0.06123724356957945,1.0
