dataset,K,diff,mean,lo,hi,p
pilot40,1,learned-random,0.23399999999999999,0.188,0.283,1.7736607239348537e-05
pilot40,1,learned-uniform,0.055,-0.01,0.125,0.14225318302286383
pilot40,2,learned-random,0.085,0.02300000000000002,0.146,0.015564090414177603
pilot40,2,learned-uniform,0.075,0.02,0.13,0.019820986224245624
pilot40,4,learned-random,0.041999999999999996,-0.01,0.094,0.13005062894247613
pilot40,4,learned-uniform,0.02,-0.045,0.085,0.5147368075078371
can_esca,1,learned-random,0.05333333333333332,-0.005333333333333347,0.10666666666666666,0.016940921704773536
can_esca,2,learned-random,0.034666666666666665,-0.016000000000000004,0.07733333333333334,0.020131362261419018
can_esca,4,learned-random,0.050666666666666665,-0.0026666666666666674,0.104,0.12389997689396512
can_rcc,1,learned-random,0.059473684210526304,0.03263157894736841,0.08526315789473683,3.88020617183345e-06
can_rcc,2,learned-random,0.03368421052631578,0.012105263157894728,0.05421052631578946,0.00031791787157978927
can_rcc,4,learned-random,0.018947368421052626,-0.0010526315789473725,0.03789473684210526,0.07946161670907961
