order,K,comparison,metric,n,mean,ci_lo,ci_hi,p_value,q_value,fdr_significant
main,1,ours-distill,AA,5,-0.0039450000000000205,-0.013375000000000026,0.004095000000000004,0.5625,0.7978723404255319,False
main,1,ours-distill,Forgetting,5,0.003793333333333323,-0.0038400000000000274,0.01224666666666668,0.625,0.7978723404255319,False
main,1,ours-distill,BWT,5,-0.005086666666666668,-0.010006666666666681,0.0008966666666666088,0.1875,0.46875,False
main,1,ours-distill,Jaccard,5,-0.03683333333333336,-0.08757333333333335,0.02689999999999998,0.3125,0.625,False
main,1,ours-distill,action-KL,5,-0.0109,-0.018800000000000008,-0.004253333333333329,0.0625,0.1875,False
main,2,ours-distill,AA,5,-0.004705000000000026,-0.019584999999999964,0.00923999999999996,0.625,0.7978723404255319,False
main,2,ours-distill,Forgetting,5,-0.0002799999999999983,-0.011760000000000008,0.01201333333333333,1.0,1.0,False
main,2,ours-distill,BWT,5,-0.002366666666666686,-0.016206666666666703,0.01687333333333332,0.8125,0.9112149532710281,False
main,2,ours-distill,Jaccard,5,-0.03680000000000001,-0.05276000000000001,-0.02044666666666669,0.0625,0.1875,False
main,2,ours-distill,action-KL,5,-0.007980000000000004,-0.011340000000000003,-0.005273333333333337,0.0625,0.1875,False
main,4,ours-distill,AA,5,0.0018299999999999983,-0.011295000000000032,0.014119999999999956,0.8125,0.9112149532710281,False
main,4,ours-distill,Forgetting,5,0.011159999999999984,-0.012200000000000016,0.03470666666666665,0.5,0.759493670886076,False
main,4,ours-distill,BWT,5,0.010066666666666637,-0.012960000000000046,0.0338333333333333,0.5,0.759493670886076,False
main,4,ours-distill,Jaccard,5,-0.023420000000000007,-0.04741333333333335,-0.0002466666666666673,0.1875,0.46875,False
main,4,ours-distill,action-KL,5,-0.006026666666666667,-0.007333333333333333,-0.00472,0.0625,0.1875,False
main,1,ours-replay,AA,5,-0.004814999999999991,-0.010904999999999988,0.00035999999999996034,0.25,0.5555555555555556,False
main,1,ours-replay,Forgetting,5,0.005166666666666653,-0.005673333333333358,0.016006666666666662,0.4375,0.7394366197183099,False
main,1,ours-replay,BWT,5,-0.00175333333333334,-0.016973333333333344,0.01485999999999999,0.875,0.9292035398230089,False
main,1,ours-replay,Jaccard,5,0.07935333333333332,0.052046666666666644,0.11478666666666666,0.0625,0.1875,False
main,1,ours-replay,action-KL,5,0.03444,0.02745333333333333,0.04142666666666666,0.0625,0.1875,False
main,2,ours-replay,AA,5,-0.0007249999999999534,-0.020154999999999923,0.014169999999999993,0.875,0.9292035398230089,False
main,2,ours-replay,Forgetting,5,0.003866666666666663,-0.015140000000000015,0.017266666666666673,0.625,0.7978723404255319,False
main,2,ours-replay,BWT,5,0.005139999999999982,-0.012246666666666687,0.01908666666666666,0.5625,0.7978723404255319,False
