order,setting_key,setting_label,K,task,A_t_t,std,n,raw_acc
main,distill,old-policy / policy-fidelity distillation,1,brca,0.8283200000000001,0.055173925000855314,5,0.90108
main,distill,old-policy / policy-fidelity distillation,1,esca,0.89822,0.03604118477519851,5,0.89334
main,distill,old-policy / policy-fidelity distillation,1,lung,0.85746,0.019457209460762872,5,0.8547399999999999
main,distill,old-policy / policy-fidelity distillation,1,rcc,0.9566399999999999,0.010238798757666853,5,0.95264
main,ewc,EWC parameter regularization,1,brca,0.8755200000000001,0.08549618120126769,5,0.9139800000000001
main,ewc,EWC parameter regularization,1,esca,0.89822,0.03604118477519851,5,0.89334
main,ewc,EWC parameter regularization,1,lung,0.87544,0.015148696313544636,5,0.87368
main,ewc,EWC parameter regularization,1,rcc,0.9434799999999999,0.021417329432027708,5,0.9421200000000001
main,joint,joint-training reference,1,brca,0.8466799999999999,0.09707418297364134,5,0.9053599999999999
main,joint,joint-training reference,1,esca,0.89822,0.03604118477519851,5,0.89334
main,joint,joint-training reference,1,lung,0.8678000000000001,0.003995622604801436,5,0.8653000000000001
main,joint,joint-training reference,1,rcc,0.97552,0.013684736022298707,5,0.9684000000000001
main,lwf,new-state old-policy distillation,1,brca,0.8626000000000001,0.028426660021887953,5,0.91828
main,lwf,new-state old-policy distillation,1,esca,0.89822,0.03604118477519851,5,0.89334
main,lwf,new-state old-policy distillation,1,lung,0.8676600000000001,0.011750446800015713,5,0.8652599999999999
main,lwf,new-state old-policy distillation,1,rcc,0.95052,0.009750487167316312,5,0.94474
main,ours_lambda0.3,Utility-Weighted Replay Distillation (λ=0.3),1,brca,0.84276,0.05313217480961983,5,0.9053799999999999
main,ours_lambda0.3,Utility-Weighted Replay Distillation (λ=0.3),1,esca,0.89822,0.03604118477519851,5,0.89334
main,ours_lambda0.3,Utility-Weighted Replay Distillation (λ=0.3),1,lung,0.8739399999999999,0.008087521251904059,5,0.8715999999999999
main,ours_lambda0.3,Utility-Weighted Replay Distillation (λ=0.3),1,rcc,0.94886,0.012999346137402482,5,0.94474
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),1,brca,0.82168,0.08579616541547758,5,0.89678
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),1,esca,0.89822,0.03604118477519851,5,0.89334
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),1,lung,0.8676600000000001,0.00850517489532111,5,0.8652799999999999
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),1,rcc,0.9525600000000001,0.015216701350818458,5,0.9473800000000001
main,ours_lambda3,Utility-Weighted Replay Distillation (λ=3.0),1,brca,0.84666,0.056511441319435474,5,0.9053799999999999
main,ours_lambda3,Utility-Weighted Replay Distillation (λ=3.0),1,esca,0.89822,0.03604118477519851,5,0.89334
main,ours_lambda3,Utility-Weighted Replay Distillation (λ=3.0),1,lung,0.87418,0.01513941874709855,5,0.87158
main,ours_lambda3,Utility-Weighted Replay Distillation (λ=3.0),1,rcc,0.95996,0.009259751616539259,5,0.95264
main,replay,counterfactual-teacher replay,1,brca,0.8349399999999999,0.07893480221043185,5,0.9053799999999999
main,replay,counterfactual-teacher replay,1,esca,0.89822,0.03604118477519851,5,0.89334
main,replay,counterfactual-teacher replay,1,lung,0.86764,0.01823452768787828,5,0.86524
main,replay,counterfactual-teacher replay,1,rcc,0.95332,0.013253376928164369,5,0.9526199999999999
main,seqft,sequential fine-tuning,1,brca,0.8716200000000001,0.05748401516943638,5,0.91396
main,seqft,sequential fine-tuning,1,esca,0.89822,0.03604118477519851,5,0.89334
