method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
eq_pres,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.7337,0.1108,0.8714,15,10.8,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,2,esca,1,0.9375,0.9333,0.2,0.1292,-0.1331,0.8177,0.0837,0.8714,15,130.0,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,2,lung,2,0.8456,0.8421,1.0,-0.0,0.05,0.6335,0.1348,0.8114,95,131.0,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,3,esca,1,0.9375,0.9333,0.1556,0.1183,0.307,0.7958,0.0901,0.8714,15,227.7,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,3,lung,2,0.8245,0.8211,0.1754,0.0827,-0.0667,0.6358,0.1424,0.8114,95,228.8,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.3861,0.8035,0.0766,0.9133,76,229.7,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,4,esca,1,1.0,1.0,0.0889,0.1093,0.3374,0.8009,0.0857,0.8714,15,347.9,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,4,lung,2,0.8878,0.8842,0.1333,0.1017,-0.0426,0.6509,0.1321,0.8114,95,348.9,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,4,rcc,3,0.9815,0.9868,0.114,0.0393,0.4649,0.8202,0.0698,0.9133,76,349.8,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
eq_pres,0,2,4,brca,4,0.861,0.9032,1.0,-0.0,0.1336,0.6646,0.1154,0.7009,93,350.9,mps,2.12.0,False,True,1,mps,gate_v0333_main,a4bce9c64dbd42def619b44a24794bc0ef63f21f,aaron-mac.local,scripts/run_method_gate.py --device mps --tag gate_v0333_main --timing-only,can,main
