method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order,gate_v2_role
eq_pres,3,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0048,0.718,0.1102,0.9071,15,7.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,2,esca,1,1.0,1.0,0.1333,0.1917,0.6593,0.8157,0.0789,0.9071,15,71.9,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,2,lung,2,0.8756,0.8737,1.0,-0.0,-0.0432,0.7059,0.1249,0.7535,95,72.5,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,3,esca,1,1.0,1.0,0.2,0.5579,0.6604,0.8595,0.0721,0.9071,15,125.5,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,3,lung,2,0.8361,0.8316,0.2105,0.1589,-0.099,0.722,0.139,0.7535,95,126.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,3,rcc,3,0.9324,0.9342,1.0,0.0,0.8326,0.8047,0.0719,0.8533,76,126.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,4,esca,1,1.0,1.0,0.1333,0.2927,0.6611,0.8307,0.0657,0.9071,15,190.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,4,lung,2,0.8565,0.8526,0.2737,0.1464,-0.0507,0.7362,0.1229,0.7535,95,191.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,4,rcc,3,0.9592,0.9474,0.2237,0.072,0.8534,0.8304,0.0633,0.8533,76,191.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,1,4,brca,4,0.9001,0.9032,1.0,-0.0,0.2913,0.7401,0.0997,0.655,93,192.4,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1337,0.7348,0.1115,0.825,15,10.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,2,esca,1,0.9375,0.9333,0.1556,0.1255,0.0034,0.7849,0.0937,0.825,15,132.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,2,lung,2,0.8429,0.8421,1.0,-0.0,-0.0157,0.652,0.1312,0.7867,95,133.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,3,esca,1,0.9375,0.9333,0.1333,0.1443,0.1524,0.7976,0.0868,0.825,15,231.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,3,lung,2,0.8361,0.8316,0.0947,0.0845,-0.049,0.664,0.1346,0.7867,95,232.4,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.4147,0.7571,0.0864,0.8825,76,233.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,4,esca,1,0.9375,0.9333,0.1111,0.0968,0.192,0.7813,0.0905,0.825,15,351.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
