method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
ia_samp,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.7559,0.1068,0.8321,15,6.8,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,2,esca,1,0.875,0.8667,0.1333,0.039,0.5266,0.7635,0.103,0.8321,15,87.2,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,2,lung,2,0.866,0.8632,1.0,-0.0,0.0434,0.7212,0.125,0.7707,95,87.8,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,3,esca,1,0.8661,0.8667,0.1333,0.0626,0.212,0.7785,0.1034,0.8321,15,247.7,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,3,lung,2,0.8259,0.8211,0.4632,0.0456,0.004,0.6974,0.1336,0.7707,95,248.2,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,3,rcc,3,0.9592,0.9474,1.0,-0.0,0.8518,0.8071,0.077,0.8722,76,248.6,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,4,esca,1,0.8661,0.8667,0.2667,0.0861,-0.5562,0.7585,0.1091,0.8321,15,551.6,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,4,lung,2,0.8469,0.8421,0.3158,0.0752,0.053,0.702,0.136,0.7707,95,552.1,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,4,rcc,3,0.9101,0.8947,0.3158,0.0269,0.7816,0.8081,0.0781,0.8722,76,552.5,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
ia_samp,0,1,4,brca,4,0.8873,0.914,1.0,-0.0,0.2881,0.7292,0.1049,0.6985,93,553.0,mps,2.12.0,False,True,1,mps,method_gate_v0333_run1,0f0a0428283ec39402fa48153d280313c0e5eed3,aaron-mac.local,scripts/run_method_gate.py --device mps --tag method_gate_v0333_run1 --resume,can,main
