method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,dataset,order
ours_uniform,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.7559,0.1068,0.8321,15,9.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,2,esca,1,0.9375,0.9333,0.2,0.062,-0.2642,0.7989,0.0959,0.8321,15,99.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,2,lung,2,0.8558,0.8526,1.0,0.0,-0.0571,0.7372,0.1222,0.7707,95,100.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,3,esca,1,0.9375,0.9333,0.1333,0.0741,-0.2643,0.7779,0.1058,0.8321,15,172.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,3,lung,2,0.8354,0.8316,0.3684,0.0384,0.0053,0.7195,0.1275,0.7707,95,173.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,3,rcc,3,0.9694,0.9605,1.0,-0.0,0.8669,0.8212,0.0704,0.8722,76,173.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,4,esca,1,0.875,0.8667,0.0667,0.0771,-0.3578,0.7725,0.1039,0.8321,15,263.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,4,lung,2,0.8265,0.8211,0.3158,0.0651,-0.0017,0.7225,0.1292,0.7707,95,263.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,4,rcc,3,0.949,0.9342,0.3947,0.0294,0.7905,0.8205,0.0721,0.8722,76,264.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,1,4,brca,4,0.8151,0.8925,1.0,0.0,0.2996,0.732,0.1021,0.6985,93,264.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.7337,0.1108,0.8714,15,14.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,2,esca,1,0.9375,0.9333,0.2222,0.0227,-0.0573,0.7396,0.1092,0.8714,15,188.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,2,lung,2,0.8558,0.8526,1.0,-0.0,0.0111,0.6192,0.1416,0.8114,95,190.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,3,esca,1,0.9375,0.9333,0.1111,0.0285,0.1967,0.7356,0.1088,0.8714,15,327.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,3,lung,2,0.866,0.8632,0.193,0.017,0.0893,0.6127,0.1463,0.8114,95,328.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.3568,0.8014,0.0777,0.9133,76,329.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,4,esca,1,0.8661,0.8667,0.1111,0.033,0.0197,0.7358,0.1097,0.8714,15,499.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,4,lung,2,0.8143,0.8105,0.1895,0.0303,0.015,0.6178,0.1446,0.8114,95,500.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,4,rcc,3,0.9713,0.9737,0.136,0.0166,0.4453,0.8119,0.0733,0.9133,76,501.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,0,2,4,brca,4,0.9271,0.9462,1.0,-0.0,0.1485,0.6623,0.1175,0.7009,93,502.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.7559,0.1068,0.8321,15,8.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
