device = cuda | torch = 2.4.1+cu124 | MPS fallback = 1
λ_ewc = 100.0
[seqft seed0 K=1] AA=0.833 T1(bal=0.833, jac=0.17, kl=0.115) (12s)
[seqft seed0 K=2] AA=0.667 T1(bal=0.667, jac=0.06, kl=0.046) (16s)
[seqft seed0 K=4] AA=0.750 T1(bal=0.667, jac=0.02, kl=0.052) (23s)
[ewc seed0 K=1] AA=0.833 T1(bal=0.667, jac=0.17, kl=0.119) (26s)
[ewc seed0 K=2] AA=0.750 T1(bal=0.667, jac=0.06, kl=0.043) (33s)
[ewc seed0 K=4] AA=0.833 T1(bal=0.667, jac=0.05, kl=0.043) (44s)
[lwf seed0 K=1] AA=0.833 T1(bal=0.833, jac=0.50, kl=0.049) (47s)
[lwf seed0 K=2] AA=0.750 T1(bal=0.833, jac=0.11, kl=0.022) (51s)
[lwf seed0 K=4] AA=0.833 T1(bal=0.833, jac=0.05, kl=0.011) (59s)
[replay seed0 K=1] AA=0.917 T1(bal=0.833, jac=0.33, kl=0.052) (62s)
[replay seed0 K=2] AA=0.917 T1(bal=0.833, jac=0.11, kl=0.033) (68s)
[replay seed0 K=4] AA=0.833 T1(bal=0.833, jac=0.08, kl=0.017) (80s)
[distill seed0 K=1] AA=0.833 T1(bal=0.833, jac=0.33, kl=0.038) (83s)
[distill seed0 K=2] AA=0.833 T1(bal=0.667, jac=0.22, kl=0.012) (89s)
[distill seed0 K=4] AA=0.917 T1(bal=0.833, jac=0.05, kl=0.009) (97s)
[ours seed0 K=1] AA=0.833 T1(bal=0.833, jac=0.33, kl=0.040) (100s)
[ours seed0 K=2] AA=0.833 T1(bal=0.667, jac=0.17, kl=0.014) (106s)
[ours seed0 K=4] AA=0.750 T1(bal=0.833, jac=0.24, kl=0.007) (117s)
[joint seed0 K=1] AA=0.917 T1(bal=0.833, jac=0.33, kl=0.069) (121s)
[joint seed0 K=2] AA=0.833 T1(bal=0.833, jac=0.17, kl=0.055) (126s)
[joint seed0 K=4] AA=0.750 T1(bal=0.833, jac=0.08, kl=0.009) (137s)
done -> /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0/cl_main_pilot40_main_v2_pilot40_main_cuda_20260815T122732Z_main_s0.csv
