method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
seqft,1,1,1,T1_renal,1,0.8333,0.8333,1.0,-0.0,-0.0618,0.6215,0.1456,0.6667,6,4.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
seqft,1,1,2,T1_renal,1,0.8333,0.8333,0.0,0.3009,0.2924,0.5469,0.1375,0.6667,6,5.4,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
seqft,1,1,2,T2_breast,2,0.5,0.5,1.0,0.0,-1.2078,0.3649,0.2926,0.4667,6,5.4,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
seqft,1,2,1,T1_renal,1,1.0,1.0,1.0,0.0,0.3531,0.6626,0.1039,0.7333,6,1.9,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
seqft,1,2,2,T1_renal,1,0.5,0.5,0.0556,0.0504,-0.4618,0.6403,0.111,0.7333,6,3.8,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
seqft,1,2,2,T2_breast,2,0.5,0.5,1.0,0.0,-0.1901,0.4848,0.1973,0.5333,6,3.9,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
seqft,1,4,1,T1_renal,1,1.0,1.0,1.0,0.0,0.1802,0.4811,0.1629,0.8,6,3.5,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
seqft,1,4,2,T1_renal,1,0.8333,0.8333,0.0238,0.0315,0.0173,0.4632,0.1707,0.8,6,6.5,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
seqft,1,4,2,T2_breast,2,0.6667,0.6667,1.0,-0.0,-0.0713,0.4544,0.1722,0.6667,6,6.6,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
ewc,1,1,1,T1_renal,1,0.8333,0.8333,1.0,-0.0,-0.0618,0.6215,0.1456,0.6667,6,1.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s1,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 1 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s1 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_1 --resume,pilot40,main
