dataset,order,K,comparison,metric,n,mean,ci_lo,ci_hi,resolved_device
can,main,1,ours-seqft,AA,5,0.02976000000000003,-0.0020049999999999677,0.05565000000000005,cpu
can,main,1,ours-seqft,forgetting,5,0.05904666666666667,0.027333333333333338,0.09281333333333333,cpu
can,main,1,ours-seqft,jaccard,5,0.20818666666666666,0.18941999999999998,0.22883333333333336,cpu
can,main,1,ours-distill,AA,5,-0.0039450000000000205,-0.013490000000000047,0.004050000000000042,cpu
can,main,1,ours-distill,forgetting,5,0.003793333333333323,-0.003713333333333368,0.012373333333333339,cpu
can,main,1,ours-distill,jaccard,5,-0.03683333333333336,-0.08757333333333335,0.02297999999999999,cpu
can,main,2,ours-seqft,AA,5,0.0069249999999999815,-0.026270000000000036,0.03830500000000001,cpu
can,main,2,ours-seqft,forgetting,5,0.02969333333333336,0.009093333333333353,0.058926666666666704,cpu
can,main,2,ours-seqft,jaccard,5,0.07742666666666666,0.033239999999999985,0.14434666666666665,cpu
can,main,2,ours-distill,AA,5,-0.017510000000000046,-0.052180000000000046,0.00923999999999996,cpu
can,main,2,ours-distill,forgetting,5,-0.004519999999999989,-0.020199999999999996,0.012013333333333327,cpu
can,main,2,ours-distill,jaccard,5,-0.006540000000000018,-0.049146666666666686,0.053326666666666654,cpu
can,main,4,ours-seqft,AA,5,0.040125000000000036,0.023800000000000023,0.06064500000000008,cpu
can,main,4,ours-seqft,forgetting,5,0.04682,0.023933333333333327,0.06456,cpu
can,main,4,ours-seqft,jaccard,5,0.06337333333333332,0.052480000000000006,0.07486666666666666,cpu
can,main,4,ours-distill,AA,5,0.0018299999999999983,-0.012864999999999993,0.014119999999999956,cpu
can,main,4,ours-distill,forgetting,5,0.011159999999999984,-0.012200000000000016,0.03470666666666665,cpu
can,main,4,ours-distill,jaccard,5,-0.023420000000000007,-0.04741333333333335,0.0005733333333333313,cpu
can,reverse,1,ours-seqft,AA,5,0.06430000000000005,0.02538000000000005,0.10307000000000002,cpu
can,reverse,1,ours-seqft,forgetting,5,0.06428000000000002,0.0092066666666667,0.11287333333333331,cpu
can,reverse,1,ours-seqft,jaccard,5,0.23502666666666666,0.22157333333333334,0.25146,cpu
can,reverse,1,ours-distill,AA,5,-0.011319999999999997,-0.03870499999999999,0.005725000000000024,cpu
can,reverse,1,ours-distill,forgetting,5,-0.02067333333333334,-0.05588000000000002,0.0001799999999999795,cpu
can,reverse,1,ours-distill,jaccard,5,-0.022813333333333363,-0.05186666666666671,0.009279999999999955,cpu
can,reverse,2,ours-seqft,AA,5,0.030340000000000013,-0.006494999999999984,0.06717500000000001,cpu
can,reverse,2,ours-seqft,forgetting,5,0.02386666666666667,-0.009679999999999994,0.047300000000000016,cpu
can,reverse,2,ours-seqft,jaccard,5,0.08949333333333334,0.051066666666666684,0.13822000000000004,cpu
can,reverse,2,ours-distill,AA,5,-0.012264999999999993,-0.04060499999999998,0.008170000000000056,cpu
can,reverse,2,ours-distill,forgetting,5,-0.01538,-0.05260666666666665,0.012379999999999997,cpu
can,reverse,2,ours-distill,jaccard,5,-0.02937999999999998,-0.08520666666666663,0.019413333333333355,cpu
can,reverse,4,ours-seqft,AA,5,0.038005000000000025,-0.00680499999999995,0.06857000000000002,cpu
can,reverse,4,ours-seqft,forgetting,5,0.03442666666666665,-0.006866666666666679,0.07851999999999998,cpu
can,reverse,4,ours-seqft,jaccard,5,0.08852,0.04660666666666667,0.13043333333333335,cpu
can,reverse,4,ours-distill,AA,5,-0.004805000000000015,-0.02915000000000001,0.018659999999999965,cpu
can,reverse,4,ours-distill,forgetting,5,0.004499999999999993,-0.014533333333333351,0.019893333333333332,cpu
can,reverse,4,ours-distill,jaccard,5,-0.00706666666666666,-0.05364666666666664,0.059646666666666646,cpu
