path,status,findings,resolved_device
nav/__init__.py,PASS,,cpu
nav/candata.py,PASS,,cpu
nav/cl.py,PASS,,cpu
nav/device.py,PASS,,cpu
nav/engine.py,PASS,,cpu
nav/models.py,PASS,,cpu
nav/pilot40.py,PASS,,cpu
scripts/aggregate_ablation.py,PASS,,cpu
scripts/aggregate_results.py,PASS,,cpu
scripts/cl_main.py,PASS,,cpu
scripts/cl_navigation.py,PASS,,cpu
scripts/expA_linear_probe.py,PASS,,cpu
scripts/expB_budget_navigation.py,PASS,,cpu
scripts/gate1_significance.py,PASS,,cpu
scripts/gate1_single_task.py,PASS,,cpu
scripts/make_fig1.py,PASS,,cpu
scripts/prep_can_cache.py,PASS,,cpu
scripts/wp1_paired_stats.py,PASS,,cpu
scripts/wp2_code_audit.py,PASS,,cpu
